time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/iterations,time/total_timesteps,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/learning_rate,train/clip_fraction,eval/mean_ep_length,eval/mean_reward
34,23.0,0,23.0,1,32,,,,,,,,,,,,
56,16.5,1,16.5,2,64,20,-0.004780157469213009,0.0022899676,-0.6923600524663925,0.018190324306488037,0.2,6.55419397354126,13.712111806869506,0.0003,0.0,,
73,16.5,1,16.5,3,96,40,0.0001969377975910902,6.8949535e-05,-0.6919038325548172,0.1006045937538147,0.2,8.120224952697754,16.78089828491211,0.0003,0.0,,
86,36.0,1,36.0,4,128,60,-0.0021640675142407416,0.00036013685,-0.6927544295787811,0.2704382538795471,0.2,7.26064395904541,15.896645259857177,0.0003,0.0,,
96,34.75,1,34.75,5,160,80,-0.0005592619068920613,0.00010209903,-0.6929456710815429,0.0954585075378418,0.2,6.230057716369629,13.215736675262452,0.0003,0.0,,
104,31.0,1,31.0,6,192,100,-0.0001280113123357296,1.1099502e-05,-0.6930210679769516,0.12321066856384277,0.2,5.736030578613281,12.53548321723938,0.0003,0.0,,
112,24.444444444444443,1,24.444444444444443,7,224,120,-0.010154846310615539,0.0029297192,-0.6922901302576066,-0.39882636070251465,0.2,4.186646938323975,9.620433330535889,0.0003,0.0,,
118,24.444444444444443,2,24.444444444444443,8,256,140,-0.01594873536378145,0.011814013,-0.6735749483108521,-0.3181082010269165,0.2,3.312856435775757,7.419428515434265,0.0003,0.0421875,,
122,25.636363636363637,2,25.636363636363637,9,288,160,-0.006251230090856552,0.0007701479,-0.6814392417669296,-1.340313196182251,0.2,7.997198104858398,17.634677410125732,0.0003,0.0,,
127,25.636363636363637,2,25.636363636363637,10,320,180,-0.030332837160676716,0.021106347,-0.6353493928909302,-0.10450530052185059,0.2,3.0124902725219727,7.428250885009765,0.0003,0.08125,,
131,25.923076923076923,2,25.923076923076923,11,352,200,-0.0017324598506093026,0.0010123476,-0.6408015310764312,-1.007819652557373,0.2,7.210807800292969,16.377366876602174,0.0003,0.0,,
134,26.857142857142858,2,26.857142857142858,12,384,220,-0.006327926367521286,0.0027738763,-0.6542140305042267,-0.35559988021850586,0.2,4.140719413757324,9.613552141189576,0.0003,0.0,,
137,26.066666666666666,3,26.066666666666666,13,416,240,-0.004883098974823951,0.0014203386,-0.6682634353637695,-0.14194750785827637,0.2,3.8770337104797363,9.54114465713501,0.0003,0.0,,
138,25.41176470588235,3,25.41176470588235,14,448,260,4.185996949672699e-05,0.00020780507,-0.6657791316509247,-0.8540360927581787,0.2,5.165869235992432,12.008145666122436,0.0003,0.0,,
141,25.0,3,25.0,15,480,280,-0.009747494664043187,0.0055660987,-0.6577866941690445,-0.4784032106399536,0.2,5.676872730255127,12.449090671539306,0.0003,0.0078125,,
143,24.6,3,24.6,16,512,300,-0.009459494333714246,0.008565316,-0.6282075434923172,-0.39660167694091797,0.2,5.332746982574463,11.925688791275025,0.0003,0.0203125,,
145,24.363636363636363,3,24.363636363636363,17,544,320,-0.02607326563447714,0.016821679,-0.6656598538160324,-0.19918334484100342,0.2,4.275355339050293,9.99107584953308,0.0003,0.0609375,,
147,23.291666666666668,3,23.291666666666668,18,576,340,-0.0005489861592650414,0.0031835232,-0.6530722796916961,0.04231703281402588,0.2,5.173182964324951,11.233654308319093,0.0003,0.0,,
149,22.444444444444443,4,22.444444444444443,19,608,360,-0.006681780703365803,0.0051647415,-0.6434669941663742,-0.4131660461425781,0.2,7.900229454040527,17.503727149963378,0.0003,0.0,,
150,21.93103448275862,4,21.93103448275862,20,640,380,0.00024815257638692855,0.0005174186,-0.6618711173534393,-0.027669072151184082,0.2,5.586655139923096,12.840202283859252,0.0003,0.0,,
152,20.96875,4,20.96875,21,672,400,-0.02110423520207405,0.017866783,-0.642261165380478,0.23928040266036987,0.2,2.892914056777954,7.034898042678833,0.0003,0.0796875,,
153,20.818181818181817,4,20.818181818181817,22,704,420,-0.003792877309024334,0.00847805,-0.6095747739076615,0.5806763768196106,0.2,1.7486692667007446,3.8179947257041933,0.0003,0.0453125,,
155,20.735294117647058,4,20.735294117647058,23,736,440,-0.008706589322537183,0.011114294,-0.6394020706415177,0.6407519578933716,0.2,1.2773830890655518,3.4763569831848145,0.0003,0.0078125,,
156,21.22222222222222,4,21.22222222222222,24,768,460,-0.041814828850328924,0.010829772,-0.5805736601352691,0.4184187650680542,0.2,3.5593936443328857,9.246270179748535,0.0003,0.0421875,,
157,21.22222222222222,5,21.22222222222222,25,800,480,-0.017533869482576847,0.01135525,-0.6016692817211151,0.35307174921035767,0.2,4.8435139656066895,10.602896642684936,0.0003,0.0375,,
158,21.783783783783782,5,21.783783783783782,26,832,500,-0.005343183875083923,0.0017189309,-0.60511794090271,0.718574196100235,0.2,3.2338712215423584,8.397564554214478,0.0003,0.0,,
159,22.289473684210527,5,22.289473684210527,27,864,520,-0.0038895933888852597,0.0019164989,-0.6103697687387466,0.4236186742782593,0.2,4.269277095794678,9.607511281967163,0.0003,0.0,,
160,22.289473684210527,5,22.289473684210527,28,896,540,-0.007218745909631253,0.0055237412,-0.6178802162408829,0.34923744201660156,0.2,3.956453561782837,8.949090194702148,0.0003,0.0046875,,
161,23.05128205128205,5,23.05128205128205,29,928,560,-0.02812658678740263,0.009764487,-0.6130286782979966,0.5472123324871063,0.2,2.372976779937744,6.904708456993103,0.0003,0.015625,,
162,23.05128205128205,5,23.05128205128205,30,960,580,-0.03236531522125006,0.009629718,-0.6101193010807038,0.42447102069854736,0.2,5.320499897003174,12.159011602401733,0.0003,0.0359375,,
163,23.05128205128205,6,23.05128205128205,31,992,600,-0.0012125723995268344,0.0003911825,-0.6180250823497773,0.2121080756187439,0.2,2.213637113571167,6.258837723731995,0.0003,0.0,,
163,23.05128205128205,6,23.05128205128205,32,1024,620,-0.006591045390814542,0.0025901878,-0.6311891943216323,-0.39317357540130615,0.2,2.0260627269744873,6.041705369949341,0.0003,0.0,,
164,23.05128205128205,6,23.05128205128205,33,1056,640,-0.0420581434853375,0.025650965,-0.6304744958877564,-0.8775373697280884,0.2,1.952825665473938,5.86522114276886,0.0003,0.15625,,
165,23.05128205128205,6,23.05128205128205,34,1088,660,-0.02006213553249836,0.019380156,-0.544054827094078,-0.27320122718811035,0.2,1.8814854621887207,5.299472963809967,0.0003,0.103125,,
166,27.425,6,27.425,35,1120,680,-0.01039670007303357,0.011855594,-0.6112179309129715,-0.25178468227386475,0.2,1.8263851404190063,4.9940632581710815,0.0003,0.034375,,
167,27.425,6,27.425,36,1152,700,-0.015191697236150502,0.0072286343,-0.5416162222623825,-0.13399100303649902,0.2,15.827238082885742,32.047528457641604,0.0003,0.0484375,,
167,27.425,7,27.425,37,1184,720,-0.03366736127063632,0.0358586,-0.6158566534519195,0.6467063724994659,0.2,1.6970865726470947,4.181902265548706,0.0003,0.2265625,,
168,27.425,7,27.425,38,1216,740,-0.05265744011849165,0.1280505,-0.5671723574399948,0.9241980090737343,0.2,0.3515835404396057,1.632593321800232,0.0003,0.4265625,,
168,30.317073170731707,7,30.317073170731707,39,1248,760,-0.03672650242224336,0.036869746,-0.5476561903953552,0.9072566404938698,0.2,0.8589813709259033,4.530448079109192,0.0003,0.134375,,
169,30.30952380952381,7,30.30952380952381,40,1280,780,-0.002840122301131487,0.009440407,-0.6184482187032699,0.9428365007042885,0.2,1.1436249017715454,8.048208016157151,0.0003,0.0125,,
169,30.30952380952381,7,30.30952380952381,41,1312,800,-0.0015507915988564492,0.0031345394,-0.5150778472423554,-0.06943988800048828,0.2,15.44630241394043,31.202764797210694,0.0003,0.0015625,,
170,30.40909090909091,7,30.40909090909091,42,1344,820,-0.00020789476111531257,0.0004539732,-0.5683656156063079,-0.597244143486023,0.2,2.79551100730896,6.313933968544006,0.0003,0.0,,
171,30.244444444444444,8,30.244444444444444,43,1376,840,-0.0011411570012569427,0.0002801763,-0.5662013709545135,-0.06198275089263916,0.2,28.09949493408203,57.052560806274414,0.0003,0.0,,
171,30.244444444444444,8,30.244444444444444,44,1408,860,-0.005460299830883741,0.0065394286,-0.5845780074596405,-0.0788043737411499,0.2,14.895977020263672,30.143464279174804,0.0003,0.009375,,
172,30.630434782608695,8,30.630434782608695,45,1440,880,0.0005031278356909752,0.0017215898,-0.5447294920682907,-0.5648852586746216,0.2,2.8624415397644043,6.432386517524719,0.0003,0.0,,
171,30.630434782608695,8,30.630434782608695,46,1472,900,-0.003147839568555355,0.00053222757,-0.5828687608242035,-0.0495680570602417,0.2,8.305641174316406,17.43732213973999,0.0003,0.0,,
171,31.404255319148938,8,31.404255319148938,47,1504,920,0.0003638662863522768,0.0008479627,-0.5157031416893005,-0.5542953014373779,0.2,1.9476186037063599,5.039022469520569,0.0003,0.0,,
172,31.708333333333332,8,31.708333333333332,48,1536,940,-0.0030818299390375616,0.0021072524,-0.6187051385641098,-0.05334484577178955,0.2,16.243040084838867,32.71154651641846,0.0003,0.0015625,,
172,31.53061224489796,9,31.53061224489796,49,1568,960,-0.019948160834610464,0.025348444,-0.5900615930557251,-0.019951462745666504,0.2,16.428815841674805,33.273128509521484,0.0003,0.121875,,
172,31.74,9,31.74,50,1600,980,-0.0028879509307444097,0.0031107925,-0.666834831237793,-0.02870965003967285,0.2,16.58597755432129,33.41635456085205,0.0003,0.0,,
172,31.470588235294116,9,31.470588235294116,51,1632,1000,-0.009303002897650004,0.009238408,-0.6305572271347046,-0.023347020149230957,0.2,15.186063766479492,30.71816520690918,0.0003,0.0171875,,
172,31.76923076923077,9,31.76923076923077,52,1664,1020,-0.0065915948711335656,0.004629136,-0.5794700592756271,-0.014482736587524414,0.2,15.373479843139648,30.91171226501465,0.0003,0.078125,,
173,31.76923076923077,9,31.76923076923077,53,1696,1040,-0.011520843114703893,0.007390029,-0.62262242436409,-0.017874479293823242,0.2,14.5629301071167,29.419044399261473,0.0003,0.0109375,,
173,31.76923076923077,9,31.76923076923077,54,1728,1060,-0.005936105083674192,0.0012931628,-0.619141137599945,-0.2506120204925537,0.2,2.819624185562134,6.293281602859497,0.0003,0.0,,
173,31.76923076923077,10,31.76923076923077,55,1760,1080,-0.0044230476953089235,0.0021281084,-0.600424537062645,-0.07948458194732666,0.2,2.0596413612365723,5.164846515655517,0.0003,0.0,,
173,31.76923076923077,10,31.76923076923077,56,1792,1100,-0.004657475370913744,0.004399549,-0.6187126219272614,-0.06052994728088379,0.2,1.9092566967010498,4.840030455589295,0.0003,0.0,,
173,31.76923076923077,10,31.76923076923077,57,1824,1120,-0.006716419290751219,0.004279079,-0.6502135097980499,0.03683739900588989,0.2,1.7905608415603638,4.570730447769165,0.0003,0.0046875,,
173,34.471698113207545,10,34.471698113207545,58,1856,1140,-0.0004913227632641793,0.000891095,-0.5672967165708542,-0.1035764217376709,0.2,1.756435751914978,4.4741102933883665,0.0003,0.0,,
173,34.471698113207545,10,34.471698113207545,59,1888,1160,-0.005436527822166681,0.0008526882,-0.6106898009777069,-0.029601573944091797,0.2,16.284297943115234,32.763817405700685,0.0003,0.015625,,
173,34.471698113207545,11,34.471698113207545,60,1920,1180,-0.003244909178465605,0.0011733584,-0.6482428789138794,-0.1151207685470581,0.2,1.7693970203399658,4.386239504814148,0.0003,0.0,,
173,35.72222222222222,11,35.72222222222222,61,1952,1200,-0.0025637556798756124,0.000703197,-0.6280918508768082,0.11659163236618042,0.2,1.5427268743515015,3.963919627666473,0.0003,0.0,,
173,35.72222222222222,11,35.72222222222222,62,1984,1220,-0.0061798330396413805,0.005121475,-0.543948620557785,0.035119056701660156,0.2,19.099552154541016,39.02355690002442,0.0003,0.0203125,,
172,35.72222222222222,11,35.72222222222222,63,2016,1240,-1.2544170022010804e-05,6.7653134e-05,-0.5964527010917664,-0.00816810131072998,0.2,2.1119587421417236,4.750600099563599,0.0003,0.0,,
171,36.85454545454545,11,36.85454545454545,64,2048,1260,-0.009217664413154126,0.0073947115,-0.6194472283124923,0.005751669406890869,0.2,1.512288212776184,3.902823746204376,0.0003,0.003125,,
170,36.85454545454545,12,36.85454545454545,65,2080,1280,-0.008584374934434891,0.00596778,-0.6279887586832047,0.006034791469573975,0.2,20.61922264099121,41.79357624053955,0.0003,0.009375,,
170,36.85454545454545,12,36.85454545454545,66,2112,1300,-0.0008698795922100544,0.0002743071,-0.635196515917778,-0.0064623355865478516,0.2,2.0372586250305176,4.5564114332199095,0.0003,0.0,,
169,36.85454545454545,12,36.85454545454545,67,2144,1320,-0.004677215777337551,0.0017102966,-0.6348007559776306,-0.07511794567108154,0.2,1.4917919635772705,3.7936263561248778,0.0003,0.0,,
168,36.85454545454545,12,36.85454545454545,68,2176,1340,-0.010229965206235647,0.008022995,-0.5891092449426651,-0.001192927360534668,0.2,1.3610955476760864,3.567417824268341,0.0003,0.0,,
168,39.410714285714285,13,39.410714285714285,69,2208,1360,-0.030937212333083153,0.03282829,-0.5570464432239532,-0.22504723072052002,0.2,1.2735180854797363,3.4451966643333436,0.0003,0.3171875,,
168,39.410714285714285,13,39.410714285714285,70,2240,1380,-0.022864041011780502,0.029405624,-0.6219330728054047,-0.005741238594055176,0.2,23.7659912109375,47.93260536193848,0.0003,0.28125,,
168,39.410714285714285,13,39.410714285714285,71,2272,1400,-0.000330275297164917,0.00010848604,-0.6415764540433884,-0.07797956466674805,0.2,1.8231315612792969,4.076206576824188,0.0003,0.0,,
168,39.87719298245614,13,39.87719298245614,72,2304,1420,-0.016350682452321054,0.0066879643,-0.5636075347661972,-0.07869040966033936,0.2,1.2863917350769043,3.3486289739608766,0.0003,0.0171875,,
168,39.87719298245614,13,39.87719298245614,73,2336,1440,0.0005725983530282975,9.2932954e-05,-0.5692067682743073,-0.005381226539611816,0.2,11.717850685119629,23.78629093170166,0.0003,0.0,,
168,39.87719298245614,14,39.87719298245614,74,2368,1460,-0.018161928188055752,0.016606579,-0.617842498421669,0.2496480941772461,0.2,1.0175578594207764,2.7769428133964538,0.0003,0.053125,,
168,39.87719298245614,14,39.87719298245614,75,2400,1480,-0.014133337512612342,0.0030138986,-0.542317607998848,0.5749386250972748,0.2,0.8855565786361694,2.69966202378273,0.0003,0.0,,
168,41.672413793103445,14,41.672413793103445,76,2432,1500,-0.0006013255566358567,0.002670966,-0.6131223231554032,-0.261171817779541,0.2,0.9596222043037415,2.794231641292572,0.0003,0.0,,
168,41.672413793103445,14,41.672413793103445,77,2464,1520,0.0007453670725226403,0.0009180978,-0.523931959271431,0.01872807741165161,0.2,26.86962890625,54.59473571777344,0.0003,0.0,,
168,41.672413793103445,14,41.672413793103445,78,2496,1540,-0.012455739919096232,0.007182724,-0.5694818019866943,-0.0006901025772094727,0.2,1.4330440759658813,3.293994998931885,0.0003,0.015625,,
168,41.672413793103445,14,41.672413793103445,79,2528,1560,-0.016281279176473616,0.011626607,-0.5844074577093125,0.11530184745788574,0.2,0.9928090572357178,2.653899073600769,0.0003,0.0375,,
168,41.672413793103445,15,41.672413793103445,80,2560,1580,-0.005158305400982499,0.00809776,-0.5560471713542938,0.8340477794408798,0.2,0.4905439615249634,1.7577035188674928,0.0003,0.01875,,
168,41.672413793103445,15,41.672413793103445,81,2592,1600,-0.012350829225033522,0.018729433,-0.5755646318197251,0.21540027856826782,0.2,0.08712565898895264,1.4832562923431396,0.0003,0.134375,,
168,44.355932203389834,15,44.355932203389834,82,2624,1620,-0.008783917780965567,0.0069255754,-0.5729841709136962,0.256039023399353,0.2,0.3514646887779236,1.6813699156045914,0.0003,0.1125,,
168,44.355932203389834,15,44.355932203389834,83,2656,1640,-0.018191919848322868,0.013271995,-0.5585669100284576,-0.24719452857971191,0.2,0.48291125893592834,1.6462215423583983,0.0003,0.171875,,
168,44.355932203389834,15,44.355932203389834,84,2688,1660,-0.0014115531928837299,0.0005224645,-0.6043008685111999,-0.0446547269821167,0.2,0.7751728892326355,2.126275825500488,0.0003,0.0,,
168,44.355932203389834,16,44.355932203389834,85,2720,1680,-0.01944826589897275,0.012130777,-0.535174161195755,-0.04268193244934082,0.2,0.6835604310035706,2.0061474680900573,0.0003,0.0359375,,
168,44.355932203389834,16,44.355932203389834,86,2752,1700,-0.004121754877269268,0.006453771,-0.5185466170310974,0.10727262496948242,0.2,0.6545859575271606,1.8664949595928193,0.0003,0.0234375,,
168,44.355932203389834,16,44.355932203389834,87,2784,1720,-0.0009331434965133667,0.00030697417,-0.6216090738773346,0.005215644836425781,0.2,0.6382267475128174,1.8021341025829316,0.0003,0.0,,
168,44.355932203389834,16,44.355932203389834,88,2816,1740,-0.0028352719731628896,0.0010461174,-0.5904114842414856,-0.0899268388748169,0.2,0.6024288535118103,1.7245619952678681,0.0003,0.0,,
168,46.95,16,46.95,89,2848,1760,-0.006618612864986062,0.0039396873,-0.5879152238368988,-0.027432560920715332,0.2,0.5446256399154663,1.6075570464134217,0.0003,0.00625,,
169,46.75409836065574,17,46.75409836065574,90,2880,1780,-0.0069194484502077104,0.003149162,-0.5831136226654052,-0.07113850116729736,0.2,0.4939701557159424,1.4706085443496704,0.0003,0.0,,
169,46.75409836065574,17,46.75409836065574,91,2912,1800,-0.031885959301143886,0.009749723,-0.5546938389539718,-0.003867626190185547,0.2,36.34505081176758,73.08671607971192,0.0003,0.0421875,,
169,46.75409836065574,17,46.75409836065574,92,2944,1820,-0.0041921744123101234,0.0019547138,-0.5807747840881348,0.0032957792282104492,0.2,0.8148282170295715,1.9226088404655457,0.0003,0.0046875,,
169,46.75409836065574,17,46.75409836065574,93,2976,1840,-0.00258055254817009,0.0018246891,-0.6053854763507843,-0.005163431167602539,0.2,0.5178142189979553,1.4773994147777558,0.0003,0.00625,,
169,46.75409836065574,17,46.75409836065574,94,3008,1860,-0.0019013803452253343,0.00033631455,-0.6619001716375351,-0.051819443702697754,0.2,0.45849859714508057,1.3584496974945068,0.0003,0.0,,
169,46.75409836065574,17,46.75409836065574,95,3040,1880,-0.0036384627223014832,0.002114186,-0.653359380364418,0.00941401720046997,0.2,0.40801069140434265,1.2584636420011521,0.0003,0.0,,
169,49.225806451612904,18,49.225806451612904,96,3072,1900,-0.005200303718447685,0.006550071,-0.5684193998575211,0.04828310012817383,0.2,0.3700261116027832,1.1788680255413055,0.0003,0.021875,,
169,49.225806451612904,18,49.225806451612904,97,3104,1920,-0.017296379897743464,0.014176068,-0.6092756628990174,-0.03314518928527832,0.2,0.23166421055793762,0.8686914443969727,0.0003,0.0390625,,
169,49.225806451612904,18,49.225806451612904,98,3136,1940,-0.004898034036159515,0.011334938,-0.5810215562582016,0.06277841329574585,0.2,0.3117305636405945,1.024952009320259,0.0003,0.040625,,
169,50.0,18,50.0,99,3168,1960,-0.005555638112127781,0.005915275,-0.5415822416543961,0.43173593282699585,0.2,0.2671337425708771,0.9030435055494308,0.0003,0.021875,,
169,49.859375,18,49.859375,100,3200,1980,-0.020386991463601588,0.011241799,-0.662919694185257,0.013815999031066895,0.2,46.685882568359375,95.58858261108398,0.0003,0.0375,,
169,49.58461538461538,19,49.58461538461538,101,3232,2000,-0.0014721604995429516,0.001192973,-0.6096349477767944,-0.002393364906311035,0.2,47.163883209228516,95.79468688964843,0.0003,0.0,,
169,49.58461538461538,19,49.58461538461538,102,3264,2020,-0.01644143499433994,0.007047981,-0.6361389845609665,0.03214496374130249,0.2,40.78951644897461,88.33736953735351,0.0003,0.01875,,
169,49.59090909090909,19,49.59090909090909,103,3296,2040,-0.05269135236740112,0.025845062,-0.6509686440229416,-0.20148801803588867,0.2,0.5587878823280334,1.4841337978839875,0.0003,0.08125,,
169,49.59090909090909,19,49.59090909090909,104,3328,2060,-0.006778947077691555,0.0027393335,-0.49947690069675443,-0.0008702278137207031,0.2,46.32563400268555,93.3573787689209,0.0003,0.0140625,,
169,49.59090909090909,19,49.59090909090909,105,3360,2080,-0.0121519910171628,0.014296289,-0.5908402860164642,-0.009402990341186523,0.2,0.5769583582878113,1.4225240767002105,0.0003,0.0515625,,
169,50.61194029850746,20,50.61194029850746,106,3392,2100,-0.015618605352938176,0.022465575,-0.5790488690137863,-0.09185314178466797,0.2,0.32574692368507385,1.0469260901212691,0.0003,0.1734375,,
169,50.61194029850746,20,50.61194029850746,107,3424,2120,-0.013993687648326158,0.007329272,-0.4255805343389511,0.6029619872570038,0.2,11.645410537719727,33.55620002746582,0.0003,0.0140625,,
169,50.61194029850746,20,50.61194029850746,108,3456,2140,-0.005653606913983822,0.004315002,-0.5965922594070434,-0.7293591499328613,0.2,0.45731163024902344,1.2366817891597748,0.0003,0.0,,
169,51.23529411764706,20,51.23529411764706,109,3488,2160,-0.005401066737249494,0.0033359379,-0.6192078948020935,0.20636796951293945,0.2,0.26176977157592773,0.8843458741903305,0.0003,0.0,,
169,51.23529411764706,20,51.23529411764706,110,3520,2180,-0.00474221920594573,0.0007794751,-0.5516269266605377,-0.023769497871398926,0.2,47.58652114868164,96.70519180297852,0.0003,0.0,,
169,51.23529411764706,20,51.23529411764706,111,3552,2200,-0.018056290131062268,0.014066873,-0.5587737053632736,-2.4000136852264404,0.2,0.5229806900024414,1.35973459482193,0.0003,0.04375,,
169,51.23529411764706,21,51.23529411764706,112,3584,2220,-0.03338722214102745,0.023854556,-0.632913488149643,0.3531002402305603,0.2,0.19125695526599884,0.7621874868869781,0.0003,0.1328125,,
