#{"t_start": 1650551670.7761683, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,4.831445,0.0
-50.0,50,5.003082,0.0
-50.0,50,5.162186,0.0
-50.0,50,5.323796,0.0
-47.0,50,5.49336,0.0
-50.0,50,5.667926,0.0
-50.0,50,5.825512,0.0
-50.0,50,5.988079,0.0
-50.0,50,6.149604,0.0
-42.0,50,6.312939,0.0
-50.0,50,7.549984,0.0
-50.0,50,7.720551,0.0
-50.0,50,7.880126,0.0
-50.0,50,8.041692,0.0
-50.0,50,8.215271,0.0
-50.0,50,8.389763,0.0
-27.0,50,8.556316,0.0
-50.0,50,8.716888,0.0
-50.0,50,8.922316,0.0
-50.0,50,9.098915,0.0
-50.0,50,10.375277,0.0
-50.0,50,10.559768,0.0
-50.0,50,10.728292,0.0
-45.0,50,10.895843,0.0
-50.0,50,11.068382,0.0
-50.0,50,11.246947,0.0
-50.0,50,11.411464,0.0
-50.0,50,11.585071,0.0
-50.0,50,11.746488,0.0
-50.0,50,11.910053,0.0
-50.0,50,13.137192,0.0
-50.0,50,13.305742,0.0
-50.0,50,13.477353,0.0
-50.0,50,13.641843,0.0
-50.0,50,13.801416,0.0
-50.0,50,13.968969,0.0
-50.0,50,14.146019,0.0
-50.0,50,14.366465,0.0
-50.0,50,14.553438,0.0
-50.0,50,14.75792,0.0
-50.0,50,16.649916,0.0
-50.0,50,16.869361,0.0
-50.0,50,17.059854,0.0
-50.0,50,17.241878,0.0
-50.0,50,17.466278,0.0
-50.0,50,17.673751,0.0
-50.0,50,17.862262,0.0
-50.0,50,18.04872,0.0
-50.0,50,18.248186,0.0
-50.0,50,18.448652,0.0
-38.0,50,18.637972,0.0
-50.0,50,19.810409,0.0
-50.0,50,19.986724,0.0
-50.0,50,20.17123,0.0
-50.0,50,20.34882,0.0
-50.0,50,20.522541,0.0
-50.0,50,20.702102,0.0
-50.0,50,20.902479,0.0
-26.0,50,21.088982,0.0
-50.0,50,21.305121,0.0
-50.0,50,21.497604,0.0
-50.0,50,22.899731,0.0
-50.0,50,23.104159,0.0
-50.0,50,23.30562,0.0
-50.0,50,23.509077,0.0
-50.0,50,23.734508,0.0
-50.0,50,23.914058,0.0
-50.0,50,24.092394,0.0
-50.0,50,24.272872,0.0
-50.0,50,24.486364,0.0
-50.0,50,24.693744,0.0
-50.0,50,26.007157,0.0
-50.0,50,26.195653,0.0
-50.0,50,26.390092,0.0
-50.0,50,26.58261,0.0
-50.0,50,26.787597,0.0
-50.0,50,26.979092,0.0
-40.0,50,27.167588,0.0
-50.0,50,27.347066,0.0
