time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_range,train/n_updates,train/std,train/explained_variance,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/learning_rate,train/loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
512,3,-48.9,168,1,50.0,,,,,,,,,,,,,,
1024,5,-48.3,174,2,50.0,-0.0189189987257123,0.3,10,0.13558296859264374,-0.0006668567657470703,1.7402696587145328,0.11171875,0.014842406,169.365714263916,5.49717e-05,52.462791442871094,,,
1536,8,-48.7,176,3,50.0,-0.0071172346535604445,0.3,20,0.13566811382770538,-0.00036263465881347656,1.736628568172455,0.0267578125,0.010311766,154.8312083721161,5.49717e-05,66.29173278808594,,,
2048,11,-49.025,176,4,50.0,-0.019859870325308292,0.3,30,0.1357690989971161,-0.00569760799407959,1.7347193978726865,0.1091796875,0.020169167,152.27779054641724,5.49717e-05,42.54349899291992,,,
2560,15,-49.0,166,5,50.0,-0.009933390392689034,0.3,40,0.1358298510313034,-0.004315972328186035,1.7328371956944466,0.044921875,0.014047097,147.62465391159057,5.49717e-05,48.2994270324707,,,
3072,18,-48.77049180327869,168,6,50.0,-0.017961713566910474,0.3,50,0.13592147827148438,0.016773104667663574,1.7312058061361313,0.0853515625,0.019770667,130.29740104675292,5.49717e-05,26.842273712158203,,,
3584,21,-48.943661971830984,166,7,50.0,-0.004000355507014319,0.3,60,0.1359841227531433,0.047417283058166504,1.7294930249452591,0.0205078125,0.010063423,112.5403281211853,5.49717e-05,25.766271591186523,,,
4096,24,-48.95061728395062,166,8,50.0,-0.012575657403795048,0.3,70,0.1361510008573532,0.08911532163619995,1.727165651321411,0.06328125,0.016124949,106.89288170337677,5.49717e-05,20.31739616394043,,,
4608,27,-49.05434782608695,166,9,50.0,-0.007265210628975183,0.3,80,0.13623273372650146,0.2049679160118103,1.724200339615345,0.0318359375,0.010915542,90.8258026957512,5.49717e-05,9.16088581085205,,,
5120,30,-48.85,166,10,50.0,-0.007364302175119519,0.3,90,0.13623851537704468,0.2675687074661255,1.72315171957016,0.03828125,0.015881777,83.46209975481034,5.49717e-05,10.513328552246094,,,
5632,33,-48.94,166,11,50.0,-0.00501997962128371,0.3,100,0.1363220512866974,0.3457896113395691,1.7229042671620847,0.0525390625,0.022435203,59.890569829940794,5.49717e-05,7.444103717803955,,,
