rollout/success_rate,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,time/total_timesteps,rollout/ep_len_mean,eval/success_rate,eval/mean_ep_length,eval/mean_reward,train/ent_coef,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef_loss
0.0,0,4,-50.0,389,200,50.0,,,,,,,,,
0.0,0,8,-49.5,404,400,50.0,,,,,,,,,
0.0,1,12,-49.666666666666664,409,600,50.0,,,,,,,,,
0.0,1,16,-49.4375,413,800,50.0,,,,,,,,,
,,,,,1000,,0.0,50.0,-50.0,,,,,,
0.0,3,20,-49.4,266,1000,50.0,,,,,,,,,
0.0,7,24,-49.5,151,1200,50.0,,,,0.8202182054519653,0.001,199,-3.307605504989624,0.20165517926216125,-1.0029218196868896
0.03571428571428571,11,28,-49.214285714285715,120,1400,50.0,,,,0.6714639067649841,0.001,399,-3.0754446983337402,0.16282467544078827,-2.0126709938049316
0.03125,16,32,-49.3125,99,1600,50.0,,,,0.5497225522994995,0.001,599,-3.079253673553467,0.128158837556839,-3.018522024154663
0.027777777777777776,19,36,-49.333333333333336,90,1800,50.0,,,,0.4501942992210388,0.001,799,-2.6164181232452393,0.08899523317813873,-4.007120132446289
,,,,,2000,,0.0,50.0,-40.6,0.36900508403778076,0.001,999,-2.4191222190856934,0.08688502013683319,-4.975627422332764
0.025,24,40,-49.4,80,2000,50.0,,,,,,,,,
0.022727272727272728,29,44,-49.13636363636363,73,2200,50.0,,,,0.30356210470199585,0.001,1199,-1.9439783096313477,0.08742416650056839,-5.702839374542236
0.020833333333333332,33,48,-48.833333333333336,71,2400,50.0,,,,0.25164705514907837,0.001,1399,-1.624780535697937,0.11374349892139435,-5.912984371185303
0.038461538461538464,38,52,-47.84615384615385,68,2600,50.0,,,,0.21031677722930908,0.001,1599,-1.5032925605773926,0.11116751283407211,-6.7956132888793945
0.03571428571428571,41,56,-47.642857142857146,67,2800,50.0,,,,0.17728157341480255,0.001,1799,-1.2288556098937988,0.11324247717857361,-6.373649597167969
,,,,,3000,,1.0,50.0,-2.8,0.15037702023983002,0.001,1999,-1.1184427738189697,0.11289123445749283,-6.649728298187256
0.1,46,60,-45.266666666666666,64,3000,50.0,,,,,,,,,
0.15625,51,64,-42.78125,62,3200,50.0,,,,0.1285422146320343,0.001,2199,-1.0203777551651,0.0771162286400795,-6.657196998596191
0.20588235294117646,54,68,-40.60294117647059,61,3400,50.0,,,,0.11027245223522186,0.001,2399,-0.9195826053619385,0.08049322664737701,-7.263458251953125
0.25,58,72,-38.55555555555556,61,3600,50.0,,,,0.09482816606760025,0.001,2599,-0.8593533039093018,0.10671532154083252,-7.083155632019043
0.2894736842105263,62,76,-36.671052631578945,60,3800,50.0,,,,0.08167533576488495,0.001,2799,-0.753775417804718,0.08411994576454163,-6.992576599121094
,,,,,4000,,1.0,50.0,-2.2,0.07031795382499695,0.001,2999,-0.8843533992767334,0.056803517043590546,-7.819316864013672
0.325,67,80,-34.95,58,4000,50.0,,,,,,,,,
0.35714285714285715,72,84,-33.38095238095238,58,4200,50.0,,,,0.06057342514395714,0.001,3199,-0.5690381526947021,0.07530747354030609,-6.780946731567383
0.38636363636363635,76,88,-32.0,57,4400,50.0,,,,0.05224879831075668,0.001,3399,-0.6917605400085449,0.07288539409637451,-7.370791435241699
0.41304347826086957,80,92,-30.717391304347824,57,4600,50.0,,,,0.04514304921030998,0.001,3599,-0.713606595993042,0.0591278150677681,-6.901549339294434
0.4375,84,96,-29.541666666666668,56,4800,50.0,,,,0.038992080837488174,0.001,3799,-0.6313396692276001,0.05662234500050545,-6.50650691986084
,,,,,5000,,1.0,50.0,-1.8,0.03358762338757515,0.001,3999,-0.4129911959171295,0.044213004410266876,-6.403345108032227
0.46,89,100,-28.44,55,5000,50.0,,,,,,,,,
0.5,94,104,-26.53,55,5200,50.0,,,,0.028950627893209457,0.001,4199,-0.48729997873306274,0.04290754348039627,-7.6264190673828125
0.54,98,108,-24.66,55,5400,50.0,,,,0.024975381791591644,0.001,4399,-0.4407396614551544,0.042327336966991425,-7.240087985992432
0.58,101,112,-22.74,55,5600,50.0,,,,0.021569935604929924,0.001,4599,-0.4849849045276642,0.034012507647275925,-7.094327449798584
0.62,106,116,-20.83,54,5800,50.0,,,,0.01864180900156498,0.001,4799,-0.48013585805892944,0.041999198496341705,-6.821084022521973
,,,,,6000,,1.0,50.0,-1.0,0.01608298532664776,0.001,4999,-0.23985816538333893,0.04898238554596901,-5.587313652038574
0.66,110,120,-18.89,54,6000,50.0,,,,,,,,,
0.7,116,124,-16.97,53,6200,50.0,,,,0.013936607167124748,0.001,5199,-0.384619802236557,0.03941962122917175,-7.1839189529418945
0.73,120,128,-15.12,53,6400,50.0,,,,0.012058546766638756,0.001,5399,-0.23631685972213745,0.028272883966565132,-6.730302810668945
0.77,124,132,-13.21,53,6600,50.0,,,,0.010473479516804218,0.001,5599,-0.31295594573020935,0.03208852559328079,-5.73579740524292
0.81,127,136,-11.29,53,6800,50.0,,,,0.00910333264619112,0.001,5799,-0.1356302797794342,0.037666961550712585,-5.138763427734375
,,,,,7000,,1.0,50.0,-1.8,0.00796051137149334,0.001,5999,-0.15020903944969177,0.026917314156889915,-5.696084022521973
0.85,132,140,-9.37,52,7000,50.0,,,,,,,,,
0.89,136,144,-7.6,52,7200,50.0,,,,0.006990775000303984,0.001,6199,-0.15439558029174805,0.03568387031555176,-4.259243011474609
