#{"t_start": 1650505153.9984555, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,1.815351,0.0
-50.0,50,1.931542,0.0
-50.0,50,2.045794,0.0
-50.0,50,2.160174,0.0
-50.0,50,2.259897,0.0
-50.0,50,2.354644,0.0
-50.0,50,2.450659,0.0
-50.0,50,2.561654,0.0
-50.0,50,2.676363,0.0
-50.0,50,2.795833,0.0
-49.0,50,2.906624,0.0
-50.0,50,3.008805,0.0
-50.0,50,3.138874,0.0
-48.0,50,3.25039,0.0
-50.0,50,3.358276,0.0
-50.0,50,3.464268,0.0
-50.0,50,3.581907,0.0
-50.0,50,3.686587,0.0
-50.0,50,3.777133,0.0
-50.0,50,3.875821,0.0
-50.0,50,6.299798,0.0
-50.0,50,7.394243,0.0
-50.0,50,8.269989,0.0
-50.0,50,9.146844,0.0
-50.0,50,10.018086,0.0
-50.0,50,10.885391,0.0
-50.0,50,11.871198,0.0
-50.0,50,12.819535,0.0
-49.0,50,13.904899,0.0
-49.0,50,15.089518,0.0
-50.0,50,15.97308,0.0
-50.0,50,16.840779,0.0
-50.0,50,17.727838,0.0
-49.0,50,18.595817,0.0
-50.0,50,19.486593,0.0
-50.0,50,20.361266,0.0
-50.0,50,21.249132,0.0
-50.0,50,22.132689,0.0
-50.0,50,23.013003,0.0
-50.0,50,23.96709,0.0
-50.0,50,25.749688,0.0
-48.0,50,26.676752,0.0
-50.0,50,27.572361,0.0
-50.0,50,28.434679,0.0
-50.0,50,29.306376,0.0
-50.0,50,30.196663,0.0
-50.0,50,31.078827,0.0
-37.0,50,32.011821,0.0
-50.0,50,33.143225,0.0
-50.0,50,34.448744,0.0
-15.0,50,35.866716,1.0
-22.0,50,38.59042,1.0
-45.0,50,40.626797,0.0
-48.0,50,42.228462,0.0
-49.0,50,43.747747,0.0
-49.0,50,45.361695,0.0
-31.0,50,46.715669,1.0
-27.0,50,47.828912,1.0
-18.0,50,48.933755,1.0
-18.0,50,50.10619,1.0
-2.0,50,51.965468,1.0
-9.0,50,53.033921,1.0
-2.0,50,53.916281,1.0
-4.0,50,55.001839,1.0
-2.0,50,55.994566,1.0
-7.0,50,56.964478,1.0
-7.0,50,57.960161,1.0
-2.0,50,58.976326,1.0
-2.0,50,59.924844,1.0
-2.0,50,61.018587,1.0
-3.0,50,62.184816,1.0
-5.0,50,63.122932,1.0
-3.0,50,64.23038,1.0
-5.0,50,65.174774,1.0
-2.0,50,66.117676,0.0
-3.0,50,67.087934,1.0
-1.0,50,68.203773,1.0
-2.0,50,69.23521,1.0
-1.0,50,70.317481,1.0
-5.0,50,71.290056,1.0
-4.0,50,73.296213,1.0
-3.0,50,74.673871,1.0
