rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,time/total_timesteps,rollout/success_rate,time/episodes,eval/mean_ep_length,eval/success_rate,eval/mean_reward,train/ent_coef_loss,train/critic_loss,train/n_updates,train/learning_rate,train/actor_loss,train/ent_coef
-50.0,50.0,0,428,200,0.0,4,,,,,,,,,
-50.0,50.0,0,461,400,0.0,8,,,,,,,,,
-49.916666666666664,50.0,1,456,600,0.0,12,,,,,,,,,
-49.8125,50.0,1,451,800,0.0,16,,,,,,,,,
,,,,1000,,,50.0,0.0,-50.0,,,,,,
-49.85,50.0,3,284,1000,0.0,20,,,,,,,,,
-49.875,50.0,7,161,1200,0.0,24,,,,-1.0030760765075684,0.18945583701133728,199,0.001,-3.207758903503418,0.8202978372573853
-49.892857142857146,50.0,11,125,1400,0.0,28,,,,-2.012695550918579,0.1691066026687622,399,0.001,-3.124821901321411,0.6715787053108215
-49.84375,50.0,15,105,1600,0.0,32,,,,-3.0203490257263184,0.17902542650699615,599,0.001,-2.9701554775238037,0.5498531460762024
-49.833333333333336,50.0,18,96,1800,0.0,36,,,,-4.0331950187683105,0.14079059660434723,799,0.001,-2.601186752319336,0.450244277715683
,,,,2000,,,50.0,0.0,-50.0,-5.025204658508301,0.08639945089817047,999,0.001,-2.284980297088623,0.3688390851020813
-49.85,50.0,23,86,2000,0.0,40,,,,,,,,,
-49.81818181818182,50.0,26,82,2200,0.0,44,,,,-5.848657608032227,0.11091480404138565,1199,0.001,-1.9101500511169434,0.30247917771339417
-49.5625,50.0,30,79,2400,0.0,48,,,,-6.396821022033691,0.09293922781944275,1399,0.001,-1.370091438293457,0.24896308779716492
-48.38461538461539,50.0,36,70,2600,0.038461538461538464,52,,,,-7.18977165222168,0.0958838164806366,1599,0.001,-1.0564223527908325,0.20644280314445496
-48.339285714285715,50.0,43,64,2800,0.03571428571428571,56,,,,-6.749180793762207,0.1191069558262825,1799,0.001,-0.8597456812858582,0.17325879633426666
,,,,3000,,,50.0,1.0,-2.0,-6.629576683044434,0.10041794180870056,1999,0.001,-0.5347373485565186,0.14714685082435608
-46.68333333333333,50.0,49,60,3000,0.1,60,,,,,,,,,
-44.03125,50.0,53,60,3200,0.15625,64,,,,-7.0601677894592285,0.10648874193429947,2199,0.001,-0.5861219167709351,0.12589839100837708
-41.705882352941174,50.0,57,59,3400,0.20588235294117646,68,,,,-6.869900703430176,0.09404075890779495,2399,0.001,-0.2821371853351593,0.10864316672086716
-39.55555555555556,50.0,61,58,3600,0.25,72,,,,-6.668941497802734,0.07830473780632019,2599,0.001,-0.37363967299461365,0.0939440131187439
-37.64473684210526,50.0,65,58,3800,0.27631578947368424,76,,,,-6.860344886779785,0.10170622169971466,2799,0.001,-0.6280775666236877,0.08142420649528503
,,,,4000,,,50.0,1.0,-2.6,-7.448024749755859,0.09525905549526215,2999,0.001,-0.3182393014431,0.07070731371641159
-35.875,50.0,70,56,4000,0.3125,80,,,,,,,,,
-34.285714285714285,50.0,75,55,4200,0.34523809523809523,84,,,,-6.922513484954834,0.07484170794487,3199,0.001,-0.14176779985427856,0.06138474866747856
-32.85227272727273,50.0,78,55,4400,0.375,88,,,,-6.2116594314575195,0.06668400019407272,3399,0.001,-0.31603437662124634,0.05335521697998047
-31.543478260869566,50.0,82,55,4600,0.40217391304347827,92,,,,-7.121788024902344,0.06778416037559509,3599,0.001,-0.2592467665672302,0.04635553061962128
-30.3125,50.0,86,55,4800,0.4270833333333333,96,,,,-6.034482955932617,0.06080372631549835,3799,0.001,-0.3747878968715668,0.04025028645992279
,,,,5000,,,50.0,1.0,-2.2,-6.535593032836914,0.05309296399354935,3999,0.001,-0.2713164985179901,0.035008545964956284
-29.16,50.0,91,54,5000,0.45,100,,,,,,,,,
