time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,rollout/success_rate,time/time_elapsed,time/fps,time/episodes,eval/mean_reward,eval/success_rate,eval/mean_ep_length,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates
200,50.0,-50.0,0.0,0,502,4,,,,,,,,,
400,50.0,-50.0,0.0,0,504,8,,,,,,,,,
600,50.0,-50.0,0.0,1,493,12,,,,,,,,,
800,50.0,-49.75,0.0,1,488,16,,,,,,,,,
1000,,,,,,,-43.6,0.2,50.0,,,,,,
1000,50.0,-49.75,0.0,3,305,20,,,,,,,,,
1200,50.0,-49.75,0.0,7,158,24,,,,-1.0032293796539307,-3.172919273376465,0.15664377808570862,0.001,0.8202186226844788,199
1400,50.0,-49.392857142857146,0.03571428571428571,11,125,28,,,,-2.0053977966308594,-3.0836381912231445,0.1764475256204605,0.001,0.6715453863143921,399
1600,50.0,-49.46875,0.03125,14,108,32,,,,-3.012657642364502,-2.953313112258911,0.14602327346801758,0.001,0.5498151779174805,599
1800,50.0,-49.47222222222222,0.027777777777777776,18,97,36,,,,-4.015761375427246,-2.5484113693237305,0.09901409596204758,0.001,0.45025765895843506,799
2000,,,,,,,-49.4,0.0,50.0,-4.995079040527344,-2.285472869873047,0.09502445161342621,0.001,0.36881744861602783,999
2000,50.0,-49.525,0.025,22,87,40,,,,,,,,,
2200,50.0,-49.56818181818182,0.022727272727272728,26,83,44,,,,-5.888484954833984,-1.7227933406829834,0.07898841053247452,0.001,0.30254414677619934,1199
2400,50.0,-49.479166666666664,0.020833333333333332,29,80,48,,,,-6.530980110168457,-1.3771393299102783,0.10686146467924118,0.001,0.24927468597888947,1399
2600,50.0,-48.67307692307692,0.019230769230769232,34,76,52,,,,-7.009627342224121,-1.1363791227340698,0.10111719369888306,0.001,0.2068028599023819,1599
2800,50.0,-48.160714285714285,0.03571428571428571,37,74,56,,,,-7.527131080627441,-0.57487952709198,0.11406104266643524,0.001,0.17316271364688873,1799
3000,,,,,,,-3.8,1.0,50.0,-6.769901752471924,-0.329101026058197,0.10573014616966248,0.001,0.14663751423358917,1999
3000,50.0,-45.86666666666667,0.08333333333333333,41,72,60,,,,,,,,,
3200,50.0,-43.59375,0.125,45,70,64,,,,-7.271800518035889,-0.15908417105674744,0.08832047879695892,0.001,0.12539315223693848,2199
3400,50.0,-41.23529411764706,0.17647058823529413,49,68,68,,,,-6.610885143280029,-0.24159954488277435,0.101927250623703,0.001,0.10800666362047195,2399
3600,50.0,-39.083333333333336,0.2222222222222222,53,67,72,,,,-6.6192402839660645,-0.1623663306236267,0.09656678885221481,0.001,0.09358710795640945,2599
3800,50.0,-37.10526315789474,0.2631578947368421,57,66,76,,,,-7.1740336418151855,-0.0816374123096466,0.10336001217365265,0.001,0.08112405240535736,2799
4000,,,,,,,-1.6,1.0,50.0,-7.158856391906738,-0.012359410524368286,0.08479401469230652,0.001,0.07046332210302353,2999
4000,50.0,-35.325,0.3,61,65,80,,,,,,,,,
4200,50.0,-33.75,0.3333333333333333,65,64,84,,,,-6.92465353012085,-0.020471960306167603,0.0636272206902504,0.001,0.061138566583395004,3199
4400,50.0,-32.28409090909091,0.36363636363636365,68,63,88,,,,-6.5915446281433105,-0.2085888683795929,0.07748489081859589,0.001,0.053121235221624374,3399
4600,50.0,-30.967391304347824,0.391304347826087,72,63,92,,,,-6.436389446258545,0.056233882904052734,0.06748685985803604,0.001,0.046063464134931564,3599
4800,50.0,-29.75,0.4166666666666667,76,62,96,,,,-6.736041069030762,0.008457809686660767,0.06306403875350952,0.001,0.03998949006199837,3799
5000,,,,,,,-1.2,1.0,50.0,-7.351171493530273,-0.06815828382968903,0.06882742047309875,0.001,0.034758202731609344,3999
5000,50.0,-28.72,0.44,81,61,100,,,,,,,,,
5200,50.0,-26.77,0.48,85,60,104,,,,-7.1493754386901855,0.018451735377311707,0.054234690964221954,0.001,0.03017302416265011,4199
5400,50.0,-24.87,0.52,88,60,108,,,,-6.171675682067871,0.002268552780151367,0.042732931673526764,0.001,0.026191649958491325,4399
5600,50.0,-22.97,0.56,92,60,112,,,,-6.576810836791992,-0.03427800536155701,0.04438640922307968,0.001,0.02270633727312088,4599
5800,50.0,-21.1,0.6,96,60,116,,,,-6.894797325134277,-0.15221571922302246,0.042392611503601074,0.001,0.019592249765992165,4799
6000,,,,,,,-1.0,1.0,50.0,-5.38762092590332,0.14922530949115753,0.045626748353242874,0.001,0.0169846024364233,4999
6000,50.0,-19.17,0.64,100,59,120,,,,,,,,,
6200,50.0,-17.27,0.68,104,59,124,,,,-6.276304244995117,-0.1573725789785385,0.040657781064510345,0.001,0.014709136448800564,5199
6400,50.0,-15.44,0.71,108,59,128,,,,-6.853355407714844,-0.05512308329343796,0.038246072828769684,0.001,0.012764750979840755,5399
6600,50.0,-13.53,0.75,111,59,132,,,,-7.547119617462158,0.019063711166381836,0.04293307662010193,0.001,0.0110934441909194,5599
6800,50.0,-11.63,0.79,114,59,136,,,,-4.501827716827393,0.19961465895175934,0.02879459038376808,0.001,0.00971453171223402,5799
7000,,,,,,,-1.8,1.0,50.0,-4.590693473815918,0.1882067322731018,0.030350040644407272,0.001,0.008467082865536213,5999
7000,50.0,-9.69,0.83,119,58,140,,,,,,,,,
7200,50.0,-7.74,0.87,123,58,144,,,,-3.9021401405334473,0.025949809700250626,0.026040775701403618,0.001,0.007448230404406786,6199
7400,50.0,-5.86,0.91,126,58,148,,,,-4.777624607086182,0.2059166431427002,0.026291441172361374,0.001,0.006543210241943598,6399
7600,50.0,-4.39,0.95,130,58,152,,,,-2.7503833770751953,0.043431878089904785,0.031106749549508095,0.001,0.005804660730063915,6599
7800,50.0,-2.82,0.98,134,58,156,,,,-4.412249565124512,0.187959685921669,0.02600502222776413,0.001,0.0051866029389202595,6799
8000,,,,,,,-2.4,1.0,50.0,-4.838619232177734,0.045312367379665375,0.02576972171664238,0.001,0.0045812116004526615,6999
8000,50.0,-2.36,0.99,139,57,160,,,,,,,,,
8200,50.0,-2.06,1.0,144,56,164,,,,-4.378843307495117,0.20496730506420135,0.022731589153409004,0.001,0.00411647604778409,7199
8400,50.0,-2.01,1.0,153,54,168,,,,-4.494202136993408,0.07807259261608124,0.0246371328830719,0.001,0.0036367152351886034,7399
8600,50.0,-1.99,1.0,160,53,172,,,,-3.171914577484131,0.13163159787654877,0.025508983060717583,0.001,0.0032566506415605545,7599
8800,50.0,-2.01,1.0,164,53,176,,,,-0.08031654357910156,0.2279950976371765,0.023111557587981224,0.001,0.002979100216180086,7799
9000,,,,,,,-2.4,1.0,50.0,-3.164717674255371,0.24288836121559143,0.025183197110891342,0.001,0.00272793578915298,7999
9000,50.0,-2.01,1.0,169,53,180,,,,,,,,,
9200,50.0,-1.96,1.0,172,53,184,,,,-3.6627984046936035,0.20203205943107605,0.019276592880487442,0.001,0.0024847614113241434,8199
9400,50.0,-1.94,1.0,175,53,188,,,,-0.9992111921310425,0.33608442544937134,0.023738186806440353,0.001,0.0023018287029117346,8399
9600,50.0,-1.94,1.0,179,53,192,,,,-2.791231870651245,0.05623125284910202,0.018486160784959793,0.001,0.0021231300197541714,8599
9800,50.0,-1.97,1.0,182,53,196,,,,-2.8849024772644043,0.0981820672750473,0.028327587991952896,0.001,0.0019670971669256687,8799
10000,,,,,,,-1.6,1.0,50.0,0.274344801902771,0.3036002516746521,0.022632725536823273,0.001,0.0018915304681286216,8999
10000,50.0,-1.9,1.0,187,53,200,,,,,,,,,
10200,50.0,-1.94,1.0,190,53,204,,,,0.3169976472854614,0.2818559408187866,0.020446373149752617,0.001,0.0017583356238901615,9199
10400,50.0,-1.93,1.0,195,53,208,,,,-1.3754359483718872,0.17749473452568054,0.021502716466784477,0.001,0.001667604548856616,9399
10600,50.0,-1.9,1.0,198,53,212,,,,2.1765294075012207,0.2915036082267761,0.012956620194017887,0.001,0.001618008129298687,9599
10800,50.0,-1.88,1.0,203,53,216,,,,-0.24578815698623657,0.2746184468269348,0.025272909551858902,0.001,0.0015289268922060728,9799
11000,,,,,,,-1.6,1.0,50.0,-1.366872787475586,0.180696040391922,0.014797559939324856,0.001,0.0014743544161319733,9999
11000,50.0,-1.88,1.0,207,52,220,,,,,,,,,
11200,50.0,-1.84,1.0,211,52,224,,,,-3.2512290477752686,0.3214571475982666,0.017213020473718643,0.001,0.00142582762055099,10199
11400,50.0,-1.85,1.0,215,52,228,,,,2.6017324924468994,0.38071227073669434,0.023263905197381973,0.001,0.0013894273433834314,10399
