#{"t_start": 1650554376.156903, "env_id": "PandaReachDense-v2"}
r,l,t,is_success
-9.292785,50,2.413723,0.0
-18.284783,50,2.57521,0.0
-5.7928,50,2.745755,0.0
-14.788801,50,2.910077,0.0
-18.072574,50,3.06774,0.0
-10.856479,50,3.224238,0.0
-8.004884,50,3.392866,0.0
-8.456726,50,3.555353,0.0
-7.217154,50,3.721906,0.0
-14.081251,50,3.887609,0.0
-5.862156,50,5.108823,0.0
-14.135773,50,5.273368,0.0
-6.505986,50,5.432914,0.0
-13.004443,50,5.604331,0.0
-12.487792,50,5.769847,0.0
-7.940011,50,5.942384,0.0
-7.533724,50,6.119911,0.0
-8.075212,50,6.28447,0.0
-14.073605,50,6.457052,0.0
-10.381046,50,6.635532,0.0
-11.431557,50,8.797457,0.0
-11.344991,50,9.013587,0.0
-4.239129,50,9.236981,0.0
-11.457866,50,9.450411,0.0
-8.757986,50,9.639114,0.0
-9.495595,50,9.816607,0.0
-6.425706,50,9.997123,0.0
-6.530546,50,10.168699,0.0
-7.89816,50,10.336259,0.0
-9.384557,50,10.514803,0.0
-11.239939,50,11.721046,0.0
-10.930649,50,11.909543,0.0
-10.784425,50,12.103024,0.0
-11.879264,50,12.29273,0.0
-8.180867,50,12.473295,0.0
-9.765551,50,12.655759,0.0
-4.249193,50,12.839267,0.0
-11.420373,50,13.011848,0.0
-17.415421,50,13.176365,0.0
-8.963505,50,13.344916,0.0
-8.566265,50,15.551761,0.0
-5.757116,50,15.742255,0.0
-13.351072,50,15.950753,0.0
-9.195043,50,16.154195,0.0
-5.16496,50,16.328686,0.0
-10.891382,50,16.521678,0.0
-16.246726,50,16.706185,0.0
-17.114356,50,16.880308,0.0
-4.829218,50,17.052817,0.0
-15.538637,50,17.238286,0.0
-16.925357,50,17.433383,0.0
-8.835086,50,18.672132,0.0
-6.521679,50,18.868647,0.0
-13.350759,50,19.070111,0.0
-12.726988,50,19.253809,0.0
-11.622965,50,19.433364,0.0
-11.091859,50,19.601878,0.0
-11.200589,50,19.780442,0.0
-6.599106,50,19.950943,0.0
-11.068339,50,20.11351,0.0
-11.921377,50,21.032274,0.0
-10.854939,50,22.228702,0.0
-8.97339,50,22.393824,0.0
-10.937183,50,22.562375,0.0
-10.295399,50,22.731875,0.0
-9.056381,50,22.904414,0.0
-10.047706,50,23.079945,0.0
-5.4048,50,23.251266,0.0
-11.524242,50,23.415869,0.0
-5.119604,50,23.587367,0.0
-12.158486,50,23.756986,0.0
-13.287845,50,25.0495,0.0
-9.825146,50,25.218052,0.0
-3.631594,50,25.38456,1.0
-4.608675,50,25.555147,0.0
-9.325745,50,25.735623,0.0
-11.349977,50,25.910184,0.0
-9.502219,50,26.087447,0.0
-4.740741,50,26.262983,0.0
-12.195022,50,26.431525,0.0
-15.912344,50,27.378782,0.0
-11.954448,50,28.76949,0.0
-5.107481,50,29.00582,0.0
-5.528981,50,29.228225,0.0
-5.833154,50,29.448678,0.0
-9.195241,50,29.633143,0.0
-6.794091,50,29.821682,0.0
-14.283671,50,30.001236,0.0
-13.558538,50,30.168574,0.0
-11.868231,50,30.336055,0.0
-8.730928,50,30.508667,0.0
-7.407578,50,30.676188,0.0
-9.718575,50,31.859924,0.0
-6.407443,50,32.032463,0.0
-12.216089,50,32.210029,0.0
-5.162845,50,32.38153,0.0
-7.285503,50,32.552108,0.0
-11.242681,50,32.721652,0.0
-5.801925,50,32.899384,0.0
