rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,time/total_timesteps,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/entropy_loss,train/std,eval/mean_ep_length,train/learning_rate,eval/mean_reward,train/approx_kl,eval/success_rate,train/loss,train/value_loss,train/n_updates,train/explained_variance
-11.4848237,1,2,224,50.0,512,,,,,,,,,,,,,,
,,,,,1000,0.3,0.06484375,-0.0116529862920288,1.7405755281448365,0.13557374477386475,50.0,5.49717e-05,-8.756241200000002,0.015927128,0.0,2.8397648334503174,9.773756366968154,10,-0.0005221366882324219
-10.742399250000002,2,5,172,50.0,1024,,,,,,,,,,,,,,
-10.060469266666667,3,8,170,50.0,1536,0.3,0.046484375,-0.010322419088333845,1.735535816848278,0.13577596843242645,,5.49717e-05,,0.013385998,,1.5707131624221802,6.295673662424088,20,-0.01597452163696289
,,,,,2000,0.3,0.0779296875,-0.015333608188666404,1.7306018777191639,0.13607127964496613,50.0,5.49717e-05,-13.3387372,0.016219778,0.0,0.6379761695861816,3.4303020730614664,30,-0.10734176635742188
-10.166081625,4,12,161,50.0,2048,,,,,,,,,,,,,,
-10.39653719607843,5,15,161,50.0,2560,0.3,0.028125,-0.009872168675065041,1.7249123647809028,0.1362597942352295,,5.49717e-05,,0.014844174,,0.7535331845283508,4.914463044703007,40,-0.08885347843170166
,,,,,3000,0.3,0.0673828125,-0.01369314023759216,1.7212092861533166,0.13640949130058289,50.0,5.49717e-05,-10.8421982,0.015004536,0.0,1.412231206893921,7.151579803973436,50,-0.0630267858505249
-10.412494163934426,6,19,157,50.0,3072,,,,,,,,,,,,,,
-10.275130619718308,7,22,161,50.0,3584,0.3,0.0673828125,-0.01632188049843535,1.7187745533883572,0.13645535707473755,,5.49717e-05,,0.01698116,,0.5647299885749817,4.25747626721859,60,-0.2944464683532715
,,,,,4000,0.3,0.0294921875,-0.008952320733806118,1.7174834355711937,0.13662342727184296,50.0,5.49717e-05,-6.467371,0.007668498,0.0,0.5986550450325012,3.1427652440965175,70,-0.019368529319763184
-10.171772617283949,8,25,158,50.0,4096,,,,,,,,,,,,,,
-10.045390478260869,9,29,158,50.0,4608,0.3,0.1076171875,-0.02084057091269642,1.7133845768868923,0.136745423078537,,5.49717e-05,,0.029097218,,0.9211040735244751,3.5313742950558664,80,-0.0034607648849487305
,,,,,5000,0.3,0.0896484375,-0.0174444759322796,1.7093077890574933,0.13711246848106384,50.0,5.49717e-05,-8.8143468,0.0172752,0.0,0.7098038792610168,2.7488155834376813,90,0.22325432300567627
-9.723004529999999,10,32,157,50.0,5120,,,,,,,,,,,,,,
-9.29186161,11,35,158,50.0,5632,0.3,0.0919921875,-0.02254909899784252,1.7011113703250884,0.1373809278011322,,5.49717e-05,,0.015018479,,0.4005516767501831,1.5504945520311595,100,0.5642423927783966
,,,,,6000,0.3,0.1029296875,-0.017777176387608052,1.6951365023851395,0.13765603303909302,50.0,5.49717e-05,-7.300231199999999,0.019855825,0.2,0.1874675154685974,0.7745575092732906,110,0.6586719751358032
-9.009837300000001,12,39,157,50.0,6144,,,,,,,,,,,,,,
-8.83157591,13,41,158,50.0,6656,0.3,0.1607421875,-0.032343320915242654,1.6885214753448963,0.13805145025253296,,5.49717e-05,,0.027858514,,0.3339601159095764,0.867405642196536,120,0.8209706395864487
,,,,,7000,0.3,0.0955078125,-0.015411791898077353,1.6801349520683289,0.13838082551956177,50.0,5.49717e-05,-6.947156,0.017149838,0.0,0.3305116891860962,0.7652004634961486,130,0.7765196859836578
-8.51911447,14,45,156,50.0,7168,,,,,,,,,,,,,,
-8.32674192,15,48,157,50.0,7680,0.3,0.1826171875,-0.034107312216656284,1.6749116964638233,0.13851171731948853,,5.49717e-05,,0.028139994,,0.11470497399568558,0.23965068734250963,140,0.932672418653965
,,,,,8000,0.3,0.045703125,-0.010011656949063762,1.6726416781544686,0.13859480619430542,50.0,5.49717e-05,-7.585899,0.015295638,0.0,0.20602814853191376,0.6061386547982692,150,0.8506309688091278
-8.07169463,16,52,156,50.0,8192,,,,,,,,,,,,,,
-7.993515820000002,17,55,157,50.0,8704,0.3,0.169921875,-0.03245863280026242,1.6689564555883407,0.13889531791210175,,5.49717e-05,,0.030095875,,0.2341507077217102,0.6628701547160745,160,0.78995680809021
,,,,,9000,0.3,0.0400390625,-0.009695373655995354,1.6670236565172671,0.13869500160217285,50.0,5.49717e-05,-10.4314816,0.011562582,0.0,0.18036609888076782,0.5777104388922453,170,0.8771220818161964
-8.07673906,18,59,155,50.0,9216,,,,,,,,,,,,,,
-8.17645271,19,62,156,50.0,9728,0.3,0.07421875,-0.011216027766931803,1.6669959664344787,0.13896815478801727,,5.49717e-05,,0.022001587,,0.282452791929245,0.7036182172596455,180,0.8688970059156418
,,,,,10000,0.3,0.0703125,-0.009666137699969112,1.6615403234958648,0.1391952931880951,50.0,5.49717e-05,-9.1481476,0.015077004,0.0,0.3472985327243805,1.1041200269013642,190,0.7499232888221741
-8.4255457,20,66,153,50.0,10240,,,,,,,,,,,,,,
