time/time_elapsed,time/iterations,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/loss,train/learning_rate,train/clip_range,train/approx_kl,train/entropy_loss,eval/mean_ep_length,eval/mean_reward,train/clip_fraction,eval/success_rate,train/n_updates,train/policy_gradient_loss,train/std,train/explained_variance,train/value_loss
2,1,512,-8.959876500000002,50.0,210,,,,,,,,,,,,,,
,,1000,,,,1.3932349681854248,5.49717e-05,0.3,0.012361301,1.7410370588302613,50.0,-9.621259599999998,0.047265625,0.0,10,-0.019681730295997114,0.13556474447250366,0.0021047592163085938,5.070447742938995
6,2,1024,-8.520432249999999,50.0,167,,,,,,,,,,,,,,
9,3,1536,-8.816179766666666,50.0,165,0.9579672813415527,5.49717e-05,0.3,0.016134301,1.7351065084338189,,,0.07890625,,20,-0.013876169017748907,0.13583938777446747,-0.015641093254089355,3.60022012591362
,,2000,,,,0.5550175309181213,5.49717e-05,0.3,0.015457638,1.7288158357143402,50.0,-8.1281592,0.0546875,0.0,30,-0.01305809555342421,0.13619105517864227,-0.04678463935852051,3.444554766267538
12,4,2048,-8.3290261,50.0,157,,,,,,,,,,,,,,
16,5,2560,-7.8121209607843145,50.0,158,0.4063509702682495,5.49717e-05,0.3,0.011386735,1.7231300801038743,,,0.0203125,,40,-0.0052969354554079475,0.1362948715686798,-0.04565095901489258,1.6517732627689838
,,3000,,,,0.23408213257789612,5.49717e-05,0.3,0.010548976,1.7187750861048698,50.0,-4.5708414,0.0318359375,0.2,50,-0.007175374589860439,0.13665330410003662,0.29001688957214355,0.8791387953795493
19,6,3072,-7.939161081967215,50.0,155,,,,,,,,,,,,,,
22,7,3584,-7.75704985915493,50.0,156,0.4880068302154541,5.49717e-05,0.3,0.018157259,1.7124336257576942,,,0.0818359375,,60,-0.019667039287742227,0.13681423664093018,0.02645975351333618,2.2648889753967523
,,4000,,,,0.3588677644729614,5.49717e-05,0.3,0.00820158,1.7076589100062847,50.0,-5.4302328,0.02265625,0.0,70,-0.009594371676212177,0.1371438354253769,0.3392271399497986,1.0277232222259045
26,8,4096,-7.6832694074074075,50.0,154,,,,,,,,,,,,,,
29,9,4608,-7.60667295652174,50.0,157,0.25193825364112854,5.49717e-05,0.3,0.009143263,1.7035219848155976,,,0.0271484375,,80,-0.00654800797929056,0.13711094856262207,0.5236729979515076,0.7373252254910767
,,5000,,,,0.2549334764480591,5.49717e-05,0.3,0.012662971,1.6996014058589934,50.0,-3.4535525999999996,0.0634765625,0.0,90,-0.011682076426222921,0.13759756088256836,0.6805752515792847,0.8422998992726207
33,10,5120,-7.640146499999999,50.0,155,,,,,,,,,,,,,,
36,11,5632,-7.39186053,50.0,155,0.48863524198532104,5.49717e-05,0.3,0.010933908,1.6905334696173668,,,0.0279296875,,100,-0.007697994681075215,0.1378827542066574,0.632206529378891,1.0772628299891949
,,6000,,,,0.23055842518806458,5.49717e-05,0.3,0.0135582425,1.683878953754902,50.0,-6.151536999999999,0.0845703125,0.0,110,-0.016865973290987313,0.13822275400161743,0.7293174564838409,0.5233497854322195
39,12,6144,-7.16651429,50.0,153,,,,,,,,,,,,,,
42,13,6656,-7.14402002,50.0,155,0.236049622297287,5.49717e-05,0.3,0.016755473,1.6773224197328092,,,0.066796875,,120,-0.012522506481036543,0.1384708732366562,0.8097260892391205,0.49956470718607304
,,7000,,,,0.29531770944595337,5.49717e-05,0.3,0.017196188,1.6733521834015845,50.0,-9.0948496,0.0787109375,0.0,130,-0.017134508001618087,0.1386014223098755,0.8058201819658279,0.7420979458838701
46,14,7168,-7.39121965,50.0,153,,,,,,,,,,,,,,
50,15,7680,-7.6725229100000005,50.0,152,0.2619816064834595,5.49717e-05,0.3,0.012551883,1.6695892833173276,,,0.0376953125,,140,-0.008015473908744752,0.1388069987297058,0.7163589000701904,0.8162224173545838
,,8000,,,,0.4386318325996399,5.49717e-05,0.3,0.006500495,1.6661816455423832,50.0,-7.797284599999999,0.024609375,0.0,150,-0.002820310473907739,0.13888925313949585,0.7483537793159485,1.2383829921483993
54,16,8192,-7.716161740000001,50.0,150,,,,,,,,,,,,,,
57,17,8704,-7.8294964600000005,50.0,150,0.46078044176101685,5.49717e-05,0.3,0.027575541,1.6625120110809803,,,0.1265625,,160,-0.018623504065908493,0.13921406865119934,0.8401477634906769,1.014095547236502
,,9000,,,,0.45000937581062317,5.49717e-05,0.3,0.015949614,1.6552063271403312,50.0,-7.2103214,0.0607421875,0.0,170,-0.00843329846393317,0.13956329226493835,0.7643740028142929,1.3385892190039157
62,18,9216,-7.999631009999999,50.0,148,,,,,,,,,,,,,,
65,19,9728,-8.28002856,50.0,149,0.4939226508140564,5.49717e-05,0.3,0.013215577,1.6487232245504857,,,0.0716796875,,180,-0.013754546153359115,0.13982592523097992,0.7043773531913757,1.7789427757263183
,,10000,,,,0.5411182641983032,5.49717e-05,0.3,0.005878202,1.6448551043868065,50.0,-9.663805199999999,0.0296875,0.2,190,-0.006455468898639083,0.13984671235084534,0.8646602481603622,1.6995580740273
69,20,10240,-8.358507649999998,50.0,147,,,,,,,,,,,,,,
