#{"t_start": 1650615045.1374006, "env_id": "Pendulum-v1"}
r,l,t
-1139.960512,200,3.239094
-1828.057804,200,3.569211
-989.746244,200,4.15365
-1071.966193,200,4.735094
-1339.705606,200,5.061222
-956.575215,200,5.316539
-901.317352,200,5.563125
-965.907072,200,5.810464
-1266.058063,200,6.111657
-1320.896803,200,6.383931
-1381.37219,200,8.681703
-976.706643,200,8.952976
-1440.861004,200,9.230235
-1585.681741,200,9.503074
-1194.046666,200,9.760344
-1650.045779,200,10.029666
-1277.586526,200,10.289926
-1837.688618,200,10.559312
-1651.398513,200,10.900583
-1318.731623,200,11.30152
-882.494511,200,13.825135
-1637.640121,200,14.132313
-926.876072,200,14.464425
-898.241476,200,14.76419
-1377.185069,200,15.06339
-1179.282221,200,15.365582
-899.37578,200,15.653336
-1177.317488,200,15.933587
-1067.536794,200,16.302624
-1385.358189,200,16.575893
-904.349314,200,19.267333
-1548.977902,200,19.820852
-888.97287,200,20.295606
-941.024894,200,20.582361
-878.846198,200,20.866603
-1292.989779,200,21.227967
-1347.550202,200,21.615168
-1573.7254,200,22.110816
-891.923715,200,22.545602
-1069.96918,200,22.984456
-1161.566971,200,25.618375
-1522.707549,200,25.875645
-930.157522,200,26.13196
-878.120366,200,26.444125
-1519.209678,200,26.721216
-1452.608011,200,27.05486
-1181.390386,200,27.351041
-1545.637965,200,27.641293
-916.707304,200,27.949227
-1072.718231,200,28.230939
-990.896668,200,29.610488
-1469.559775,200,32.528843
-1140.05658,200,32.783164
-1614.710932,200,33.03818
-1011.595484,200,33.299437
-1040.054585,200,33.56178
-1046.116247,200,33.829045
-1062.081446,200,34.080883
-1154.260974,200,34.35515
-1330.656984,200,34.619485
-952.251474,200,34.870811
-1011.026609,200,37.015703
-1319.593757,200,37.347813
-886.827686,200,37.749881
-898.982422,200,38.100965
-960.771361,200,38.375232
-1755.197498,200,38.693413
-1435.924106,200,39.100842
-1332.952897,200,39.47736
-998.152879,200,39.755616
-1199.65936,200,40.030882
-1208.822272,200,42.085068
-980.412718,200,42.343377
-1207.029694,200,42.600689
-998.61125,200,42.84703
-1048.721391,200,43.101371
-1623.814049,200,43.358698
-1034.337539,200,43.624495
-943.067401,200,43.871834
-1112.269593,200,44.154603
-914.299709,200,44.452807
-906.606125,200,46.673657
-1058.81676,200,46.947967
-1455.635806,200,47.201248
-1709.00073,200,47.489001
-1231.206754,200,47.747346
-1286.037051,200,48.015594
-961.289633,200,48.275436
-1367.979984,200,48.533779
-892.173245,200,48.786071
-972.755158,200,49.050147
-1280.885747,200,49.327405
-763.673294,200,52.485271
-1005.388417,200,52.957545
-1072.188469,200,53.480148
-963.598197,200,53.792313
-1234.676033,200,54.07755
-1028.446836,200,54.381737
-1026.418585,200,54.68393
-990.922541,200,54.961188
-999.873458,200,56.377158
-1135.604868,200,56.736315
-1424.234296,200,59.728446
-761.646911,200,60.00866
-1445.026313,200,60.400698
-1543.176187,200,60.738793
-1340.027352,200,61.014058
-925.378577,200,61.357673
-1356.690298,200,61.68083
-1004.855049,200,61.997961
-1046.443808,200,62.305139
-1192.154697,200,62.64588
-1336.226487,200,64.79537
-1512.806046,200,65.057626
-875.62332,200,65.316485
-762.689792,200,65.577744
-1360.200296,200,65.849019
-1254.497992,200,66.134257
-1487.697443,200,66.422647
-774.746805,200,66.788071
-924.899216,200,67.11021
-1235.117375,200,67.464306
-886.0244,200,69.813113
-1187.931259,200,70.075413
-1409.493485,200,70.43042
-1098.845316,200,70.797984
-893.132719,200,71.245272
-912.88557,200,71.685093
-902.193993,200,72.088579
-1353.599925,200,72.357866
-1604.09135,200,72.61796
-1651.522035,200,72.876227
-1329.1547,200,73.131544
-1469.586406,200,75.200608
-1187.086619,200,75.464902
-1297.472327,200,75.713238
-892.516677,200,75.975553
-969.338094,200,76.226405
-960.440436,200,76.486464
-969.482152,200,76.735794
-1683.606876,200,76.987117
-1248.991047,200,77.237455
-906.873866,200,77.498552
-1084.407891,200,79.548697
-852.15934,200,79.807007
-1333.840518,200,80.091281
-1285.6746,200,80.364538
-1459.27159,200,80.635811
-1703.571427,200,80.965964
-1630.312156,200,81.254185
-1082.157785,200,82.728152
-902.70508,200,83.068225
-1072.586416,200,83.450778
