time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/clip_range,train/learning_rate,train/loss,train/std,train/policy_gradient_loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
1,3,2048,576,-1266.9685479999998,200.0,,,,,,,,,,,,,
2,7,4096,514,-1202.9912519499999,200.0,0.001839557,10090.001821899414,0.004150390625,10,-1.406904797255993,0.2,0.0003,5281.02685546875,0.9823556542396545,-0.0019598806626163422,-0.00019621849060058594,,
3,12,6144,478,-1228.2391691666664,200.0,0.0028886497,7519.9245880126955,0.007373046875,20,-1.3999294731765985,0.2,0.0003,3183.793701171875,0.979453980922699,-0.0007922372926259414,0.18728506565093994,,
4,18,8192,451,-1217.390758575,200.0,0.0021075811,10092.328555297852,0.008203125,30,-1.3981801133602858,0.2,0.0003,4232.3017578125,0.9778754115104675,-0.0008512170345056802,0.06656873226165771,,
,,10000,,,,0.000697505,6897.533374023437,0.00068359375,40,-1.398381196707487,0.2,0.0003,3093.1845703125,0.9801348447799683,-0.000305451377062127,0.030961811542510986,200.0,-1391.7539608000002
5,24,10240,421,-1192.397410470588,200.0,,,,,,,,,,,,,
6,29,12288,416,-1196.9026739344263,200.0,0.0016327314,7123.484922790527,0.01103515625,50,-1.4115329649299384,0.2,0.0003,2978.401123046875,1.003101110458374,-0.0021533620019908994,0.010120987892150879,,
7,33,14336,422,-1172.5719617605635,200.0,0.003480722,8291.531887817382,0.0404296875,60,-1.422029922157526,0.2,0.0003,3806.237060546875,0.9997426867485046,-0.003923389548435807,0.00406259298324585,,
8,38,16384,424,-1162.0840685802468,200.0,0.0026143354,5679.254861450196,0.00654296875,70,-1.4209107063710689,0.2,0.0003,2454.803955078125,1.0024669170379639,-0.001012357947183773,0.003236114978790283,,
9,43,18432,425,-1166.4921028586955,200.0,0.002861012,6091.559452819824,0.023046875,80,-1.4236742496490478,0.2,0.0003,2926.045654296875,1.0053997039794922,-0.0017042010396835395,0.0014540553092956543,,
,,20000,,,,0.0021228716,7268.232670593262,0.006396484375,90,-1.4314551811665297,0.2,0.0003,3718.5771484375,1.0148299932479858,-0.0012934731654240749,0.000885009765625,200.0,-1220.9902407999998
10,48,20480,418,-1175.64775605,200.0,,,,,,,,,,,,,
11,53,22528,418,-1185.96226809,200.0,0.002787341,8041.633862304688,0.0201171875,100,-1.430053946748376,0.2,0.0003,3748.528564453125,1.0058350563049316,-0.0017585534427780659,0.0005379915237426758,,
12,58,24576,421,-1189.3422237599998,200.0,0.0037260915,8551.02304534912,0.020361328125,110,-1.420037604123354,0.2,0.0003,4316.8955078125,0.9952714443206787,-0.001710235932841897,0.00036072731018066406,,
13,62,26624,424,-1190.5952401200002,200.0,0.0056039747,7468.644412231445,0.069921875,120,-1.4057639379054307,0.2,0.0003,3619.853271484375,0.9805188179016113,-0.005430031169089489,0.00048047304153442383,,
14,67,28672,426,-1211.41812618,200.0,0.0032100854,7980.912927246094,0.0271484375,130,-1.3874558929353953,0.2,0.0003,3985.541748046875,0.9597405791282654,-0.003342585964128375,0.00036007165908813477,,
,,30000,,,,0.0020590606,7077.887760925293,0.0103515625,140,-1.3712204616516828,0.2,0.0003,3276.613037109375,0.9481673240661621,-0.0006154478702228517,0.0004474520683288574,200.0,-1121.5753598
15,73,30720,420,-1194.3918542699998,200.0,,,,,,,,,,,,,
