Wall time,Step,Value
1650595100.2403412,2048,23.764705657958984
1650595104.9406435,4096,27.079999923706055
1650595109.1315532,6144,37.349998474121094
1650595113.3789215,8192,47.77000045776367
1650595118.4672134,10240,62.43000030517578
1650595123.69019,12288,76.08999633789062
1650595127.881994,14336,91.83000183105469
1650595132.4859583,16384,107.37000274658203
1650595136.8653417,18432,123.37000274658203
1650595142.1890054,20480,137.00999450683594
1650595146.5438142,22528,151.6999969482422
1650595151.0430825,24576,164.7899932861328
1650595155.2535672,26624,174.6699981689453
1650595159.4554749,28672,184.32000732421875
1650595164.4379222,30720,192.22000122070312
1650595168.9210951,32768,196.94000244140625
1650595173.4472816,34816,199.0500030517578
1650595177.6267195,36864,199.57000732421875
1650595182.5164554,38912,199.57000732421875
1650595187.8063312,40960,199.57000732421875
1650595191.959759,43008,200.0
1650595196.7423606,45056,200.0
1650595202.1089318,47104,200.0
1650595206.7381382,49152,200.0
1650595213.0302057,51200,200.0
